RE	TF	cnt	HOTness
chrI:24428-24624	.	0	cold
chrI:26924-27027	ahr-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,che-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-13,egl-5,elt-1,elt-2,elt-3,eor-1,ets-4,ets-7,fax-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-15,hlh-30,hlh-8,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-2,madf-10,mdl-1,mef-2,mls-2,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-85,nhr-90,pha-2,pha-4,pqm-1,rbr-2,ref-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,unc-130,unc-3,unc-42,unc-55,unc-86,vab-15,xbp-1,zip-5,ztf-11,ztf-16	82	HOT
chrI:27106-27213	ahr-1,atf-7,cebp-1,ceh-14,ceh-18,ceh-2,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,che-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-13,egl-5,elt-1,elt-2,elt-3,eor-1,ets-4,ets-7,fax-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-15,hlh-30,hlh-8,hmg-11,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-2,madf-10,mdl-1,mef-2,mls-2,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-85,nhr-90,pha-2,pha-4,pqm-1,rbr-2,ref-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,unc-130,unc-3,unc-30,unc-42,unc-55,unc-86,vab-15,xbp-1,zip-5,ztf-11,ztf-16	87	HOT
chrI:28121-28360	.	0	cold
chrI:30251-30443	.	0	cold
chrI:31846-32201	.	0	cold
chrI:33301-33525	eor-1	1	cold
chrI:33774-33909	dve-1,lsy-2,pha-4,spr-1	4	cold
chrI:34259-34375	.	0	cold
chrI:34619-34778	nhr-23,nhr-25	2	cold
chrI:35384-35526	ces-1,dsc-1,elt-1,eor-1,hmg-11,lin-35,lsy-2,nfya-1,nhr-71,rnt-1,snu-23,swsn-7,unc-42,unc-55	14	cold
chrI:36005-36176	nhr-80	1	cold
chrI:36485-36609	daf-16,dve-1,elt-2,fos-1,lsy-2,nhr-80	6	cold
chrI:37890-38251	.	0	cold
chrI:38984-39141	crh-2,daf-16,dsc-1,dve-1,elt-2,fos-1,lsy-2,nhr-80,pqm-1,sma-9	10	cold
chrI:39774-39928	blmp-1,cebp-1,ceh-18,ceh-31,ces-1,crh-2,dpl-1,dve-1,efl-1,egl-13,elt-3,eor-1,fkh-8,fos-1,hlh-30,hmg-11,lin-35,lir-3,lsy-2,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,pha-4,rbr-2,rnt-1,sem-4,skn-1,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-42,unc-55,unc-86,xbp-1	42	HOT
chrI:40317-40490	fkh-8,hlh-4,unc-55	3	cold
chrI:40865-41027	ceh-28,hif-1	2	cold
chrI:41379-41610	eor-1,pha-4	2	cold
chrI:42112-42286	blmp-1,cebp-1,crh-2,dpl-1,dve-1,efl-1,egl-5,elt-1,elt-2,elt-3,fos-1,hif-1,hlh-30,hmg-11,irx-1,lin-35,lsy-2,madf-10,mdl-1,nfya-1,nhr-20,nhr-23,nhr-25,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pqm-1,rnt-1,sem-4,sma-3,sma-9,snu-23,swsn-7,unc-55,vab-15,xbp-1	38	HOT
chrI:42713-42817	.	0	cold
chrI:43019-43148	nhr-80	1	cold
chrI:44810-44965	.	0	cold
chrI:45133-45268	let-607,nhr-80	2	cold
chrI:46377-46573	.	0	cold
chrI:46648-46828	efl-1	1	cold
chrI:47075-47182	ces-1,efl-1,lin-35,lsy-2,pha-4,snu-23,unc-42,unc-55,xnd-1	9	cold
chrI:47477-47593	.	0	cold
chrI:56708-56898	.	0	cold
chrI:65763-65891	.	0	cold
chrI:67801-67910	.	0	cold
chrI:70045-70195	cebp-1,ceh-14,ceh-18,ceh-2,ceh-31,ceh-34,ceh-82,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,elt-3,eor-1,fkh-8,fos-1,hlh-1,hlh-30,hlh-8,hmg-11,irx-1,jun-1,lin-35,lsy-2,mdl-1,nfya-1,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-90,pax-1,pha-4,pros-1,rbr-2,ref-2,rnt-1,sma-3,snpc-4,snu-23,swsn-7,tbx-2,unc-42,unc-55,unc-86,xbp-1	53	HOT
chrI:71248-71370	ceh-34	1	cold
chrI:71811-72047	.	0	cold
chrI:72364-72504	.	0	cold
chrI:74699-74867	hlh-1,nhr-23	2	cold
chrI:75172-75414	.	0	cold
chrI:86379-86501	ces-1	1	cold
chrI:90405-90622	.	0	cold
chrI:91321-91533	.	0	cold
chrI:91709-91885	.	0	cold
chrI:92241-92350	efl-1	1	cold
chrI:92900-93001	efl-1,him-1	2	cold
chrI:96474-96722	ceh-90,crh-2,let-607,unc-55	4	cold
chrI:98064-98247	.	0	cold
chrI:108281-108393	blmp-1,ceh-34,ces-1,cog-1,crh-2,dpl-1,efl-1,eor-1,hlh-30,hmg-11,lin-35,lsy-2,nfya-1,nhr-25,nhr-71,pax-1,pha-4,rbr-2,snu-23,swsn-7,tra-4,unc-55,unc-86,xbp-1,ztf-18,ztf-26	26	HOT
chrI:109578-109780	atf-7,ceh-79	2	cold
chrI:110115-110273	daf-16,duxl-1,dve-1,eor-1,hlh-30,mdl-1,nhr-23,nhr-84,pha-4,snpc-4,snu-23,ztf-4	12	cold
chrI:110343-110467	cebp-1,duxl-1,eor-1,mdl-1,nhr-84,snpc-4	6	cold
chrI:110654-110768	aly-2,athp-1,blmp-1,cebp-1,ceh-14,ceh-18,ceh-28,ceh-31,ceh-34,ceh-82,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,elt-3,ets-4,fkh-10,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,jun-1,let-607,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,pax-1,pha-4,pqm-1,pros-1,rbr-2,ref-2,rnt-1,rpc-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,tbx-2,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zfp-2,ztf-11,ztf-26,ztf-4	75	HOT
chrI:111190-111378	cebp-1,efl-1,mxl-1	3	cold
chrI:112334-112580	him-1,lsy-2,nhr-90,repo-1,unc-130	5	cold
chrI:112716-112877	ceh-28	1	cold
chrI:114684-114859	efl-1	1	cold
chrI:122360-122612	ceh-34,ets-4,pha-4,ref-2	4	cold
chrI:123883-124079	.	0	cold
chrI:124781-124907	cebp-1,sptf-1,unc-55	3	cold
chrI:126640-126775	.	0	cold
chrI:128257-128365	efl-1,him-1,lsy-2,unc-130,xnd-1	5	cold
chrI:128428-128536	efl-1,lsy-2,unc-130,xnd-1	4	cold
chrI:128712-128793	.	0	cold
chrI:129901-130039	dsc-1	1	cold
chrI:130405-130611	ces-1,dsc-1,mls-2,rnt-1,snu-23,unc-130,unc-42,vab-15	8	cold
chrI:130816-131026	mls-2,sptf-1	2	cold
chrI:134046-134134	atf-7,athp-1	2	cold
chrI:134235-134357	atf-7,athp-1,rec-8,unc-130	4	cold
chrI:144699-144885	.	0	cold
chrI:153741-153929	.	0	cold
chrI:154085-154270	daf-16,pha-4	2	cold
chrI:156030-156182	eor-1,nhr-23	2	cold
chrI:159360-159513	blmp-1,ceh-28,elt-3,nhr-25,pag-3,zip-8	6	cold
chrI:160086-160303	elt-1,eor-1,nhr-20,pha-4,snu-23	5	cold
chrI:160774-160999	.	0	cold
chrI:165885-166043	blmp-1,nhr-25	2	cold
chrI:166974-167120	snu-23	1	cold
chrI:167968-168220	zip-8	1	cold
chrI:168565-168939	elt-3	1	cold
chrI:169723-169899	.	0	cold
chrI:170655-170795	.	0	cold
chrI:171140-171254	elt-2,mdl-1,nhr-80,pha-4,pqm-1	5	cold
chrI:171747-171941	elt-1,snu-23	2	cold
chrI:172109-172220	.	0	cold
chrI:172389-172514	.	0	cold
chrI:172803-172991	cebp-1,elt-3,pag-3	3	cold
chrI:173219-173349	zip-8	1	cold
chrI:176747-176960	.	0	cold
chrI:177367-177508	elt-3,hlh-30,sma-3	3	cold
chrI:178073-178219	.	0	cold
chrI:178410-178584	.	0	cold
chrI:179287-179408	nhr-23,nhr-25	2	cold
chrI:180195-180310	eor-1,fos-1,lsy-2,nhr-23,nhr-25,snu-23,xnd-1	7	cold
chrI:182136-182298	.	0	cold
chrI:182951-183055	cebp-1,ceh-28,ceh-82,ceh-90,ces-1,crh-2,dpl-1,dsc-1,efl-1,elt-3,eor-1,fkh-8,fos-1,him-1,hlh-30,hmg-11,irx-1,jun-1,lin-35,lsy-2,mdl-1,mls-2,nfya-1,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-90,pha-4,rbr-2,rnt-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-55,unc-86,xbp-1,xnd-1	43	HOT
chrI:183267-183419	.	0	cold
chrI:183421-183568	.	0	cold
chrI:184799-184920	rpc-1	1	cold
chrI:188554-188732	.	0	cold
chrI:196846-196958	rpc-1	1	cold
chrI:202117-202364	.	0	cold
chrI:204345-204607	.	0	cold
chrI:206028-206142	ceh-36,rpc-1	2	cold
chrI:215703-215781	xnd-1	1	cold
chrI:215855-215972	xnd-1	1	cold
chrI:217734-217909	.	0	cold
chrI:226856-226971	.	0	cold
chrI:230499-230675	sptf-1	1	cold
chrI:231331-231488	.	0	cold
chrI:231943-232155	aly-1	1	cold
chrI:232666-232777	.	0	cold
chrI:237744-237853	.	0	cold
chrI:238040-238168	sptf-1	1	cold
chrI:238463-238563	.	0	cold
chrI:240345-240485	.	0	cold
chrI:240797-240913	.	0	cold
chrI:251772-251868	efl-1,xnd-1	2	cold
chrI:251918-252058	efl-1,xnd-1	2	cold
chrI:257944-258094	zip-8	1	cold
chrI:258498-258691	.	0	cold
chrI:260218-260412	.	0	cold
chrI:260810-261072	blmp-1	1	cold
chrI:262022-262179	.	0	cold
chrI:262786-262995	.	0	cold
chrI:267230-267409	.	0	cold
chrI:268150-268281	.	0	cold
chrI:270316-270504	ceh-34	1	cold
chrI:270973-271124	hlh-1,hlh-30,snu-23,unc-55	4	cold
chrI:272560-272710	ces-1	1	cold
chrI:273615-273733	ces-1,lim-6,unc-42	3	cold
chrI:274473-274616	ces-1	1	cold
chrI:275716-275875	ceh-31,ces-1	2	cold
chrI:276559-276736	.	0	cold
chrI:277104-277259	ces-1,rbr-2,sma-9,sptf-1,unc-42	5	cold
chrI:278087-278245	.	0	cold
chrI:279908-280029	rbr-2	1	cold
chrI:280340-280534	.	0	cold
chrI:282047-282157	.	0	cold
chrI:287771-287964	.	0	cold
chrI:288153-288260	efl-1,him-1,lsy-2,xnd-1	4	cold
chrI:289125-289251	aly-2,cebp-1,ceh-28,ceh-48,ceh-82,ces-1,crh-2,dpl-1,dsc-1,efl-1,elt-3,eor-1,fkh-8,fos-1,hlh-30,hmg-11,jun-1,lin-35,lsy-2,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-90,pha-4,rbr-2,rnt-1,sma-3,snu-23,sptf-1,swsn-7,unc-130,unc-42,unc-55,unc-86,xbp-1,ztf-16	40	HOT
chrI:290391-290515	pha-4,snu-23	2	cold
chrI:293207-293338	hlh-1,rnt-1,unc-55	3	cold
chrI:295963-296107	eor-1,hlh-1,rnt-1,unc-55	4	cold
chrI:296245-296386	egl-13,eor-1,fkh-8,nhr-47,nhr-71,unc-55,unc-86,ztf-11	8	cold
chrI:297441-297574	ces-1,lin-35,unc-55	3	cold
chrI:297645-297749	ces-1,lin-35	2	cold
chrI:298429-298581	elt-1,eor-1,nhr-25,snu-23	4	cold
chrI:299766-299929	blmp-1,ces-1,crh-2,egl-13,eor-1,fkh-8,hmg-11,lin-35,lsy-2,mdl-1,nhr-23,nhr-25,nhr-71,snu-23,unc-55	15	cold
chrI:300700-300933	.	0	cold
chrI:301270-301494	.	0	cold
chrI:301526-301731	.	0	cold
chrI:302096-302258	.	0	cold
chrI:305664-305845	.	0	cold
chrI:305920-306079	.	0	cold
chrI:308008-308212	.	0	cold
chrI:308862-309060	.	0	cold
chrI:310897-311061	atf-7,athp-1,cebp-1,daf-16,die-1,dve-1,elt-2,eor-1,let-607,lin-35,lsy-2,madf-10,nfya-1,nhr-102,nhr-80,nhr-90,pqm-1,ref-2,rnt-1,snpc-4,snu-23,tbx-2,unc-62	23	HOT
chrI:311274-311472	.	0	cold
chrI:314286-314426	.	0	cold
chrI:315209-315391	aha-1,aly-2,atf-7,athp-1,blmp-1,cebp-1,ceh-18,ceh-28,ceh-31,ceh-34,ceh-48,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-1,elt-2,elt-3,eor-1,ets-4,fkh-10,fkh-8,fos-1,hif-1,hlh-1,hlh-30,irx-1,jun-1,let-607,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mef-2,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pag-3,pax-1,pha-4,pros-1,rbr-2,ref-2,repo-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,xnd-1,zfp-2,ztf-11,ztf-18,ztf-26,ztf-4,ztf-7	91	HOT
chrI:315503-315626	ceh-28,daf-16,pha-4	3	cold
chrI:316155-316292	athp-1,cebp-1,ces-1,crh-2,dpl-1,dsc-1,dve-1,efl-1,elt-2,eor-1,fkh-8,hif-1,hlh-30,let-607,lin-35,lir-3,lsy-2,madf-10,nfya-1,nhr-21,nhr-23,nhr-47,nhr-71,nhr-80,nhr-90,rbr-2,ref-2,rnt-1,sma-3,snpc-4,snu-23,swsn-7,unc-130,unc-55,unc-86,xnd-1,ztf-18	37	HOT
chrI:316694-316818	rbr-2	1	cold
chrI:318200-318305	lsy-2	1	cold
chrI:320965-321193	.	0	cold
chrI:323535-323756	cebp-1,ces-1,crh-2,dpl-1,dsc-1,efl-1,egl-13,elt-3,eor-1,fkh-8,hif-1,hmg-11,irx-1,lin-35,lsy-2,nfya-1,nhr-20,nhr-47,nhr-71,nhr-85,pha-4,sma-3,snu-23,swsn-7,ttx-3,unc-55,unc-86,xbp-1,xnd-1	29	HOT
chrI:335057-335175	.	0	cold
chrI:342922-343125	dpl-1,efl-1,lin-35,lsy-2,snu-23,unc-55,xnd-1	7	cold
chrI:347189-347418	efl-1,lsy-2,unc-130,xnd-1	4	cold
chrI:347512-347590	efl-1	1	cold
chrI:348384-348483	dpl-1,efl-1,eor-1,lin-35,lsy-2,pha-4,unc-55	7	cold
chrI:354485-354667	ceh-28	1	cold
chrI:364011-364109	unc-130	1	cold
chrI:364278-364417	athp-1,efl-1,lsy-2,unc-130,xnd-1	5	cold
chrI:377270-377519	.	0	cold
chrI:378955-379103	aly-1,aly-2,atf-7,athp-1,cebp-1,ceh-79,crh-2,daf-16,die-1,elt-2,hif-1,let-607,lsy-12,lsy-2,madf-10,nhr-102,nhr-21,nhr-25,nhr-47,nhr-71,nhr-90,pha-4,rec-8,sma-3,snpc-4,unc-130,xnd-1,zfp-2,zip-8,ztf-18	30	HOT
chrI:381555-381757	cebp-1,ces-1,daf-16,eor-1,hlh-30,lsy-2,madf-10,mdl-1,nhr-80,nhr-90,pha-4,rnt-1,snu-23,ztf-26	14	cold
chrI:381928-382059	hlh-30,lsy-2	2	cold
chrI:382456-382587	aha-1,aly-2,athp-1,blmp-1,cebp-1,ceh-18,ceh-28,ceh-31,ceh-34,ceh-82,ces-1,che-1,cog-1,crh-2,daf-16,die-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,ets-4,ets-7,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mef-2,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-2,pha-4,pros-1,rbr-2,ref-2,repo-1,rnt-1,rpc-1,sem-4,skn-1,sma-3,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,tra-4,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zfp-2,zip-5,ztf-11,ztf-26,ztf-4	88	HOT
chrI:382829-382911	cebp-1,ceh-48,die-1,elt-2,eor-1,hmg-11,mls-2,pha-2	8	cold
chrI:389626-389851	.	0	cold
chrI:390657-390759	.	0	cold
chrI:395276-395406	cebp-1,ceh-28,dve-1,efl-1,eor-1,fkh-8,fos-1,hlh-1,hlh-30,hmg-11,lin-35,lsy-2,mdl-1,nfya-1,nhr-20,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,pha-4,snu-23,swsn-7,tbx-2,unc-55	25	HOT
chrI:395946-396156	daf-16,dve-1,zip-8	3	cold
chrI:397835-398008	aha-1,aly-1,atf-7,athp-1,blmp-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-22,ceh-28,ceh-30,ceh-31,ceh-32,ceh-34,ceh-36,ceh-48,ceh-82,ces-1,cog-1,crh-2,daf-16,die-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-1,elt-2,eor-1,ets-4,ets-7,fkh-10,fkh-8,fos-1,gmeb-2,hif-1,hlh-1,hlh-30,hlh-8,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-12,lsy-2,madf-10,mbf-1,mdl-1,mef-2,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-237,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pax-1,pha-2,pha-4,pqm-1,pros-1,rbr-2,ref-2,rnt-1,sdc-2,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zfp-2,ztf-11,ztf-16,ztf-26,ztf-4	101	HOT
chrI:398490-398594	him-1,lsy-2,xnd-1	3	cold
chrI:400469-400730	rpc-1,sptf-1	2	cold
chrI:414438-414555	.	0	cold
chrI:418868-418978	fkh-8,lin-35	2	cold
chrI:419191-419354	.	0	cold
chrI:424599-424760	ceh-31,fkh-10	2	cold
chrI:426904-427092	eor-1	1	cold
chrI:429215-429382	blmp-1,eor-1,fos-1,hlh-30,nhr-21,nhr-23,nhr-25,nhr-85,snu-23,ztf-11	10	cold
chrI:430231-430347	.	0	cold
chrI:432150-432262	rpc-1	1	cold
chrI:432636-432832	.	0	cold
chrI:433609-433847	ceh-18,cog-1,daf-16,egl-5,eor-1,fos-1,hlh-1,hlh-30,lin-35,lir-3,lsy-2,nfya-1,nhr-20,nhr-47,nhr-71,nhr-80,pag-3,rnt-1,sma-3,sma-9,snu-23,syd-9,tbx-2,unc-130,unc-55,ztf-4	26	HOT
chrI:434572-434821	dsc-1,dve-1,elt-2,elt-3,fos-1,hlh-30,irx-1,nhr-71,nhr-80,pha-4,pqm-1,rnt-1,sma-3,snu-23,unc-55	15	cold
chrI:435527-435712	ceh-18,crh-2,daf-16,dsc-1,egl-5,hlh-30,lsy-2,nfya-1,nhr-47,nhr-71,rbr-2,rnt-1,sma-9,snu-23,swsn-7,unc-55,xbp-1,ztf-11	18	HOT
chrI:436182-436291	nfya-1	1	cold
chrI:436924-437088	dsc-1,hlh-8,mls-2,sptf-1	4	cold
chrI:437708-437873	ceh-34,ceh-36	2	cold
chrI:438131-438276	dsc-1,hlh-1,hlh-8,sdc-2	4	cold
chrI:439442-439583	.	0	cold
chrI:440517-440656	ceh-31,hlh-1	2	cold
chrI:440828-440973	ceh-31	1	cold
chrI:441363-441544	zip-8	1	cold
chrI:442155-442340	egl-13,sdc-2	2	cold
chrI:443217-443352	hlh-1,nfya-1	2	cold
chrI:445612-445768	ceh-36,ces-1,dsc-1,sptf-1,zip-8	5	cold
chrI:446384-446506	ces-1	1	cold
chrI:447600-447844	ces-1,sptf-1	2	cold
chrI:448653-448832	.	0	cold
chrI:449441-449650	ces-1,ttx-3,unc-42	3	cold
chrI:452602-452826	hlh-1	1	cold
chrI:453530-453676	ces-1,unc-42	2	cold
chrI:454825-454963	.	0	cold
chrI:461696-461801	aha-1,ahr-1,aly-2,atf-7,athp-1,cebp-1,ceh-14,ceh-16,ceh-2,ceh-28,ceh-31,ceh-32,ceh-34,ceh-79,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpff-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,elt-1,elt-2,elt-3,eor-1,ets-4,ets-7,eyg-1,fax-1,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-30,hlh-4,hlh-8,hmbx-1,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,mdl-1,mef-2,mls-2,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pop-1,rbr-2,rec-8,ref-2,repo-1,rnt-1,sdc-2,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,ttx-3,unc-130,unc-3,unc-42,unc-55,unc-86,vab-15,xbp-1,xnd-1,zfp-2,zip-5,ztf-11,ztf-16,ztf-18,ztf-4	104	HOT
chrI:471054-471192	ceh-31,ces-1,hlh-30,lin-35,snu-23,unc-86,ztf-11	7	cold
chrI:475512-475614	.	0	cold
chrI:476317-476553	.	0	cold
chrI:477445-477631	.	0	cold
chrI:488368-488471	aly-2,athp-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-28,ceh-31,ceh-34,ceh-36,ceh-48,ceh-82,ces-1,che-1,cog-1,crh-2,daf-16,die-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,elt-2,elt-3,eor-1,ets-4,ets-7,fkh-10,fkh-8,gmeb-2,hif-1,him-1,hlh-30,hlh-8,hmg-11,hnd-1,irx-1,jun-1,lim-6,lin-35,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mef-2,mls-2,nfya-1,nhr-102,nhr-20,nhr-23,nhr-232,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-90,pax-1,pha-2,pha-4,pop-1,pqm-1,rbr-2,ref-2,repo-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,ttx-3,unc-130,unc-3,unc-42,unc-55,unc-86,xbp-1,xnd-1,zip-5,ztf-11,ztf-16,ztf-18	92	HOT
chrI:489880-490032	ceh-28,daf-16,dve-1,elt-2,fos-1,nhr-80,pha-4,pqm-1,ztf-18	9	cold
chrI:492422-492575	cebp-1	1	cold
chrI:492704-492820	cebp-1	1	cold
chrI:495514-495750	.	0	cold
chrI:506300-506400	efl-1,xnd-1	2	cold
chrI:509932-510134	dpl-1,efl-1,lin-35,nfya-1	4	cold
chrI:510439-510628	.	0	cold
chrI:510767-510943	atf-7,athp-1,cebp-1,efl-1,repo-1,sma-3,unc-130,xnd-1	8	cold
chrI:511140-511359	daf-16	1	cold
chrI:515153-515340	cebp-1,dve-1,eor-1,pha-4	4	cold
chrI:516355-516478	.	0	cold
chrI:516664-516918	blmp-1,cebp-1,ceh-28,crh-2,die-1,dpl-1,elt-2,elt-3,eor-1,fos-1,hlh-30,lsy-2,mdl-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-71,nhr-80,nhr-85,pag-3,pha-4,pqm-1,sma-3,sma-9,snu-23,tbx-2	27	HOT
chrI:518210-518315	daf-16,dve-1,elt-2,elt-3,fos-1,jun-1,nhr-20,nhr-80,pqm-1,skn-1,sma-9,unc-62	12	cold
